Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
шуруповерты,16840,12961,2463,114,774871,0.07505938242280286,0.04587900933820544,0.00671021377672209,0
бензопилы,6501,5396,1025,21,171023,0.06814336255960621,0.02048780487804878,0.003230272265805261,0
компрессор,5779,5313,549,16,364176,0.06142931302993598,0.029143897996357013,0.0027686450943069734,0
компрессоры,4683,4322,469,9,134694,0.0610719624172539,0.019189765458422176,0.0019218449711723255,0
ушм,4556,3414,556,26,136666,0.06057945566286216,0.046762589928057555,0.005706760316066725,0
аккумуляторы (акб),4479,3896,115,10,22115,0.01518196025898638,0.08695652173913043,0.0022326412145568207,0
газонокосилки,3700,3282,493,14,174386,0.07702702702702703,0.02636916835699797,0.0035135135135135136,0
сверла,3631,3214,1097,32,26155,0.08978242908289727,0.022789425706472195,0.006885155604516662,0
лобзики | электролобзики,3529,3088,612,15,62558,0.08444318503825446,0.024509803921568627,0.004250495891187305,0
сварочное оборудование,3414,3216,406,8,149562,0.06649091974223785,0.019704433497536946,0.0023432923257176333,0
z01,3387,2756,335,19,17880,0.07764983761440802,0.050746268656716415,0.005019191024505462,0
саморезы,3378,2998,870,33,9238,0.12522202486678508,0.035632183908045977,0.009177027827116636,0
наборы инструментов для автомобиля в чемодане,3166,2928,451,13,64838,0.0903348073278585,0.026607538802660754,0.003790271636133923,0
шланги для полива,3131,2846,631,26,49718,0.11306291919514531,0.039619651347068144,0.007984669434685404,0
мотоблоки,3110,2703,217,4,143933,0.04469453376205788,0.018433179723502304,0.0012861736334405145,0
стремянки,2956,2753,528,22,74615,0.10182679296346414,0.041666666666666664,0.007442489851150203,0
очки защитные,2895,2650,668,20,16753,0.15060449050086355,0.029940119760479042,0.0069084628670120895,0
сабельные пилы,2891,2545,381,26,199214,0.06987201660325147,0.06824146981627296,0.008993427879626427,0
пилы,2840,2626,197,4,22218,0.04225352112676056,0.02030456852791878,0.0014084507042253522,0
аккумуляторные болгарки ушм,2792,2516,268,7,65127,0.06840974212034384,0.026119402985074626,0.002507163323782235,0
насосы,2782,2505,318,16,59087,0.06326383896477354,0.050314465408805034,0.005751258087706686,0
измерительные рулетки строительные,2712,2477,763,27,12095,0.15597345132743362,0.03407601572739188,0.009587020648967551,0
отрезные круги и диски,2686,2241,765,24,11411,0.14110201042442294,0.03137254901960784,0.008935219657483246,0
батарейки,2639,2165,699,53,13930,0.12656309208033345,0.07010014306151645,0.01856763925729443,0
изолента,2621,2363,828,17,5147,0.16940099198779093,0.020531400966183576,0.0064860740175505536,0
краскопульт,2593,2430,254,11,39194,0.059390667180871576,0.04330708661417323,0.004242190512919399,0
