Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
мойки высокого давления;8561;7491;1528;299;5169480;0.11318771171592104;0.18324607329842932;0.032706459525756335;23;;;;;;;;;;;;;;;;;;;;;;;;;;
гайковерты;8229;7314;1586;237;4503354;0.11131364685867055;0.1424968474148802;0.02746384736906064;10;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессор;7460;6897;1207;213;5809503;0.11675603217158177;0.16652858326429162;0.026943699731903484;10;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессоры;7406;6747;1320;213;6838667;0.1157169862273832;0.15075757575757576;0.0268701053200108;11;;;;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;6989;6058;1638;415;5347270;0.16525969380455;0.23321123321123322;0.054657318643582774;10;;;;;;;;;;;;;;;;;;;;;;;;;;
ryobi;6100;5161;3287;267;4987508;0.17065573770491804;0.07423182233039245;0.04;5;;;;;;;;;;;;;;;;;;;;;;;;;;
торцовочные пилы;5793;5244;1082;142;3459573;0.11013291904022096;0.12476894639556377;0.02330398757120663;16;;;;;;;;;;;;;;;;;;;;;;;;;;
измерительные рулетки строительные;4976;4614;3204;1018;1499169;0.39931672025723475;0.30181023720349565;0.19433279742765272;34;;;;;;;;;;;;;;;;;;;;;;;;;;
dewalt;4883;4151;442;83;1612270;0.05426991603522425;0.1583710407239819;0.014335449518738481;6;;;;;;;;;;;;;;;;;;;;;;;;;;
кисти малярные;4799;4561;5331;1547;897252;0.5507397374453011;0.2770587131870193;0.3077724525942905;14;;;;;;;;;;;;;;;;;;;;;;;;;;
диски и круги для болгарки (ушм);4786;4491;3791;946;1894335;0.36794818219807773;0.23028224742811923;0.18240702047638946;32;;;;;;;;;;;;;;;;;;;;;;;;;;
лобзики | электролобзики;4615;4080;1268;268;1437141;0.16901408450704225;0.1971608832807571;0.05417118093174431;24;;;;;;;;;;;;;;;;;;;;;;;;;;
отрезные круги и диски;4603;4095;3173;991;2343469;0.39083206604388443;0.2839583989914907;0.19574190745166195;22;;;;;;;;;;;;;;;;;;;;;;;;;;
сварочные полуавтоматы;4402;3880;645;78;1770059;0.09427532939572922;0.11782945736434108;0.017264879600181735;22;;;;;;;;;;;;;;;;;;;;;;;;;;
бокорезы и кусачки;4256;4033;2100;585;811411;0.33999060150375937;0.2671428571428571;0.13181390977443608;18;;;;;;;;;;;;;;;;;;;;;;;;;;
электропилы (цепная пила);4245;3633;1074;196;1501205;0.13663133097762073;0.17225325884543763;0.043580683156654886;25;;;;;;;;;;;;;;;;;;;;;;;;;;
малярные валики;4195;3864;3746;975;1047523;0.4395709177592372;0.24586225306994128;0.21954707985697258;15;;;;;;;;;;;;;;;;;;;;;;;;;;
торцевые головки;4182;3719;2720;566;607736;0.2666188426590148;0.19044117647058822;0.12386417981826878;16;;;;;;;;;;;;;;;;;;;;;;;;;;
фонари и фонарики;4053;3791;1616;426;911755;0.2472242783123612;0.24814356435643564;0.09893905748828029;17;;;;;;;;;;;;;;;;;;;;;;;;;;
болты;4022;3579;1866;475;784179;0.22451516658378917;0.2395498392282958;0.11113873694679265;5;;;;;;;;;;;;;;;;;;;;;;;;;;
тиски;3847;3653;1058;262;1632991;0.1965167663114115;0.22967863894139887;0.06316610345723941;5;;;;;;;;;;;;;;;;;;;;;;;;;;
рулетка;3808;3582;2106;642;1014887;0.36896008403361347;0.2905982905982906;0.16071428571428573;7;;;;;;;;;;;;;;;;;;;;;;;;;;
автоматические выключатели;3792;3421;3146;640;1505329;0.3668248945147679;0.1856325492689129;0.1540084388185654;26;;;;;;;;;;;;;;;;;;;;;;;;;;
мультиметры;3494;3262;1078;323;611209;0.23039496279336005;0.2829313543599258;0.08729250143102461;11;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторы для шуруповертов;3433;3130;464;121;905357;0.09496067579376638;0.25646551724137934;0.03466355956889018;29;;;;;;;;;;;;;;;;;;;;;;;;;;
молотки;3275;3076;1765;517;720197;0.37404580152671757;0.27138810198300284;0.14625954198473282;7;;;;;;;;;;;;;;;;;;;;;;;;;;
стремянка;3242;3085;1068;271;1971281;0.22270203578038247;0.23876404494382023;0.07865515114127082;9;;;;;;;;;;;;;;;;;;;;;;;;;;
грабли садовые;3241;3041;1982;531;771297;0.3542116630669546;0.25277497477295663;0.15458191916075287;14;;;;;;;;;;;;;;;;;;;;;;;;;;
генераторы;3201;2805;509;71;3602711;0.09309590752889722;0.12770137524557956;0.020306154326772883;10;;;;;;;;;;;;;;;;;;;;;;;;;;
гайковерт;3141;2912;665;100;1909559;0.1251193887297039;0.14285714285714285;0.030245144858325374;9;;;;;;;;;;;;;;;;;;;;;;;;;;
смесители;3100;2869;1356;357;3859980;0.26645161290322583;0.24188790560471976;0.10580645161290322;9;;;;;;;;;;;;;;;;;;;;;;;;;;
вилки электрические;3080;2931;2230;924;420778;0.49123376623376624;0.384304932735426;0.27824675324675324;19;;;;;;;;;;;;;;;;;;;;;;;;;;
заклепочники;2884;2739;216;72;394826;0.06310679611650485;0.3333333333333333;0.024965325936199722;12;;;;;;;;;;;;;;;;;;;;;;;;;;
алмазные диски;2874;2621;1231;383;1790531;0.2654836464857342;0.2981316003249391;0.127696590118302;14;;;;;;;;;;;;;;;;;;;;;;;;;;
газовые горелки;2862;2729;1005;346;350876;0.2585604472396925;0.32736318407960197;0.11495457721872816;15;;;;;;;;;;;;;;;;;;;;;;;;;;
скотч;2738;2601;1794;570;790170;0.41672753834916;0.2987736900780379;0.19576333089846604;5;;;;;;;;;;;;;;;;;;;;;;;;;;
маски сварщика (хамелеон в т.ч.);2737;2564;1001;338;1009459;0.27365728900255754;0.3256743256743257;0.11910851297040555;32;;;;;;;;;;;;;;;;;;;;;;;;;;
шланг;2671;2429;390;98;429233;0.0984649943841258;0.2230769230769231;0.03257207038562336;5;;;;;;;;;;;;;;;;;;;;;;;;;;
набор отверток;2589;2476;994;267;591015;0.29200463499420626;0.24849094567404426;0.09540363074546157;14;;;;;;;;;;;;;;;;;;;;;;;;;;
топоры;2519;2353;1025;273;579302;0.2818578801111552;0.25073170731707317;0.10202461294164351;6;;;;;;;;;;;;;;;;;;;;;;;;;;
мотобуры (бензобуры);2512;2270;559;113;1821912;0.1460987261146497;0.19320214669051877;0.042993630573248405;20;;;;;;;;;;;;;;;;;;;;;;;;;;
гаечные ключи;2489;2349;1619;307;549859;0.2864604258738449;0.17974058060531192;0.11691442346323824;13;;;;;;;;;;;;;;;;;;;;;;;;;;
грабли;2486;2356;1305;345;770825;0.3270313757039421;0.2413793103448276;0.12670957361222848;6;;;;;;;;;;;;;;;;;;;;;;;;;;
светодиодные лампы;2467;2299;6204;575;695433;0.3802188893392785;0.08558994197292069;0.21524118362383463;18;;;;;;;;;;;;;;;;;;;;;;;;;;
бокорезы;2459;2358;1115;333;535348;0.33631557543716956;0.27533632286995513;0.12484749898332656;8;;;;;;;;;;;;;;;;;;;;;;;;;;
лампы | лампочки;2343;2130;1463;522;477487;0.35296628254374735;0.32809295967190705;0.20486555697823303;16;;;;;;;;;;;;;;;;;;;;;;;;;;
гайки;2342;2154;1337;428;358142;0.3292058070025619;0.299925205684368;0.17122117847993168;5;;;;;;;;;;;;;;;;;;;;;;;;;;
гофрированные трубы для кабеля гибкие;2273;2165;1172;422;989904;0.37659480862296524;0.3370307167235495;0.1737791465024197;37;;;;;;;;;;;;;;;;;;;;;;;;;;
реноватор | многофункциональный инструмент;2271;2073;443;108;644880;0.13958608542492293;0.23702031602708803;0.046235138705416116;42;;;;;;;;;;;;;;;;;;;;;;;;;;
